{'H': 11, 'shifts': 5, 'primes_used': 4, 'greedy_logM': 7.05, '4logH': 9.59}
{'H': 21, 'shifts': 10, 'primes_used': 5, 'greedy_logM': 9.62, '4logH': 12.18}
{'H': 31, 'shifts': 15, 'primes_used': 8, 'greedy_logM': 18.53, '4logH': 13.74}
{'H': 41, 'shifts': 20, 'primes_used': 10, 'greedy_logM': 25.33, '4logH': 14.85}
{'H': 51, 'shifts': 25, 'primes_used': 11, 'greedy_logM': 28.94, '4logH': 15.73}
{'H': 61, 'shifts': 30, 'primes_used': 13, 'greedy_logM': 36.42, '4logH': 16.44}
{'H': 71, 'shifts': 35, 'primes_used': 14, 'greedy_logM': 40.27, '4logH': 17.05}
{'H': 81, 'shifts': 40, 'primes_used': 14, 'greedy_logM': 40.27, '4logH': 17.58}
{'H': 91, 'shifts': 45, 'primes_used': 17, 'greedy_logM': 52.43, '4logH': 18.04}
{'H': 101, 'shifts': 50, 'primes_used': 16, 'greedy_logM': 48.31, '4logH': 18.46}
{'H': 111, 'shifts': 55, 'primes_used': 17, 'greedy_logM': 52.43, '4logH': 18.84}
{'H': 121, 'shifts': 60, 'primes_used': 19, 'greedy_logM': 60.89, '4logH': 19.18}
{'H': 131, 'shifts': 65, 'primes_used': 19, 'greedy_logM': 60.89, '4logH': 19.5}
{'H': 141, 'shifts': 70, 'primes_used': 20, 'greedy_logM': 65.18, '4logH': 19.8}
{'H': 151, 'shifts': 75, 'primes_used': 19, 'greedy_logM': 60.89, '4logH': 20.07}
{'H': 161, 'shifts': 80, 'primes_used': 19, 'greedy_logM': 60.89, '4logH': 20.33}
{'H': 171, 'shifts': 85, 'primes_used': 20, 'greedy_logM': 65.18, '4logH': 20.57}
{'H': 181, 'shifts': 90, 'primes_used': 22, 'greedy_logM': 73.97, '4logH': 20.79}
{'H': 191, 'shifts': 95, 'primes_used': 24, 'greedy_logM': 83.04, '4logH': 21.01}
{'H': 201, 'shifts': 100, 'primes_used': 26, 'greedy_logM': 92.29, '4logH': 21.21}
HASH d1ed63b965baccc30365a427ba467389651d7f162fdb9152458b96d0c2b332e1
