{'H': 51, 'odd_shifts': 25, 'primes_used': 7, 'log_M': 15.394, 'budget': 15.727, 'uncovered': 4, 'sqrtH': 7.14}
{'H': 61, 'odd_shifts': 30, 'primes_used': 7, 'log_M': 15.394, 'budget': 16.443, 'uncovered': 5, 'sqrtH': 7.81}
{'H': 71, 'odd_shifts': 35, 'primes_used': 7, 'log_M': 15.394, 'budget': 17.051, 'uncovered': 7, 'sqrtH': 8.43}
{'H': 81, 'odd_shifts': 40, 'primes_used': 7, 'log_M': 15.586, 'budget': 17.578, 'uncovered': 8, 'sqrtH': 9.0}
{'H': 91, 'odd_shifts': 45, 'primes_used': 7, 'log_M': 15.394, 'budget': 18.043, 'uncovered': 10, 'sqrtH': 9.54}
{'H': 101, 'odd_shifts': 50, 'primes_used': 7, 'log_M': 15.394, 'budget': 18.46, 'uncovered': 12, 'sqrtH': 10.05}
{'H': 111, 'odd_shifts': 55, 'primes_used': 8, 'log_M': 18.53, 'budget': 18.838, 'uncovered': 10, 'sqrtH': 10.54}
{'H': 121, 'odd_shifts': 60, 'primes_used': 8, 'log_M': 18.53, 'budget': 19.183, 'uncovered': 14, 'sqrtH': 11.0}
{'H': 131, 'odd_shifts': 65, 'primes_used': 8, 'log_M': 18.53, 'budget': 19.501, 'uncovered': 13, 'sqrtH': 11.45}
{'H': 141, 'odd_shifts': 70, 'primes_used': 8, 'log_M': 18.53, 'budget': 19.795, 'uncovered': 16, 'sqrtH': 11.87}
{'H': 151, 'odd_shifts': 75, 'primes_used': 8, 'log_M': 18.53, 'budget': 20.069, 'uncovered': 18, 'sqrtH': 12.29}
HASH f7f70f6cc0b462776682107506c7feccaf17d9213e0459467b00d39f202daaf2
