{'K': 3, 'shifts': 1, 'delta': 0.6875}
{'K': 5, 'shifts': 2, 'delta': 0.46960449218749994}
{'K': 7, 'shifts': 3, 'delta': 0.26623352284906826}
{'K': 9, 'shifts': 4, 'delta': 0.2205358371973391}
{'K': 11, 'shifts': 5, 'delta': 0.1467393185390661}
{'K': 13, 'shifts': 6, 'delta': 0.10193869162172711}
{'K': 15, 'shifts': 7, 'delta': 0.08173669125642255}
{'K': 17, 'shifts': 8, 'delta': 0.06501680496483274}
{'K': 19, 'shifts': 9, 'delta': 0.04377572077335608}
{'K': 21, 'shifts': 10, 'delta': 0.038132251908847815}
{'K': 23, 'shifts': 11, 'delta': 0.028566127806361412}
{'K': 25, 'shifts': 12, 'delta': 0.019744661531249694}
{'K': 27, 'shifts': 13, 'delta': 0.01724312503691368}
{'K': 29, 'shifts': 14, 'delta': 0.012790764333875194}
HASH 576e57510acf8fd843e98f0b26089f0e989f183613c125eb4283675febd1a724
