{'p': 167, 'k': 3, 'm': 169, 'factors': [13, 13]}
{'p': 1069, 'k': 5, 'm': 1073, 'factors': [29, 37]}
{'p': 2803, 'k': 7, 'm': 2809, 'factors': [53, 53]}
{'p': 9371, 'k': 9, 'm': 9379, 'factors': [83, 113]}
{'p': 17389, 'k': 11, 'm': 17399, 'factors': [127, 137]}
{'p': 29917, 'k': 13, 'm': 29929, 'factors': [173, 173]}
{'p': 55673, 'k': 15, 'm': 55687, 'factors': [233, 239]}
{'p': 95461, 'k': 17, 'm': 95477, 'factors': [307, 311]}
{'p': 145681, 'k': 19, 'm': 145699, 'factors': [367, 397]}
{'p': 218069, 'k': 21, 'm': 218089, 'factors': [467, 467]}
{'p': 321367, 'k': 23, 'm': 321389, 'factors': [557, 577]}
{'p': 414703, 'k': 25, 'm': 414727, 'factors': [641, 647]}
{'p': 599303, 'k': 27, 'm': 599329, 'factors': [739, 811]}
{'p': 756703, 'k': 29, 'm': 756731, 'factors': [857, 883]}
{'p': 979541, 'k': 31, 'm': 979571, 'factors': [967, 1013]}
{'p': 1216577, 'k': 33, 'm': 1216609, 'factors': [1103, 1103]}
{'p': 1633249, 'k': 35, 'm': 1633283, 'factors': [1277, 1279]}
{'p': 1931983, 'k': 37, 'm': 1932019, 'factors': [1381, 1399]}
{'p': 2417843, 'k': 39, 'm': 2417881, 'factors': [1543, 1567]}
{'p': 2872981, 'k': 41, 'm': 2873021, 'factors': [1693, 1697]}
OMEGA_GE3 0
HASH 7be602bc6aba3fdf02ccc91f3406c39b5f82968821252a40e2a5f07cccfbda08
