{'p': 167, 'b': 0, 'b_over_m14': 0.0, 'b_over_m18': 0.0, 'q_minus_k2': 4}
{'p': 1069, 'b': 4, 'b_over_m14': 0.699, 'b_over_m18': 1.672, 'q_minus_k2': 4}
{'p': 2803, 'b': 0, 'b_over_m14': 0.0, 'b_over_m18': 0.0, 'q_minus_k2': 4}
{'p': 9371, 'b': 15, 'b_over_m14': 1.524, 'b_over_m18': 4.782, 'q_minus_k2': 2}
{'p': 17389, 'b': 5, 'b_over_m14': 0.435, 'b_over_m18': 1.475, 'q_minus_k2': 6}
{'p': 29917, 'b': 0, 'b_over_m14': 0.0, 'b_over_m18': 0.0, 'q_minus_k2': 4}
{'p': 55673, 'b': 3, 'b_over_m14': 0.195, 'b_over_m18': 0.765, 'q_minus_k2': 8}
{'p': 95461, 'b': 2, 'b_over_m14': 0.114, 'b_over_m18': 0.477, 'q_minus_k2': 18}
{'p': 145681, 'b': 15, 'b_over_m14': 0.768, 'b_over_m18': 3.394, 'q_minus_k2': 6}
{'p': 218069, 'b': 0, 'b_over_m14': 0.0, 'b_over_m18': 0.0, 'q_minus_k2': 26}
{'p': 321367, 'b': 10, 'b_over_m14': 0.42, 'b_over_m18': 2.049, 'q_minus_k2': 28}
{'p': 414703, 'b': 3, 'b_over_m14': 0.118, 'b_over_m18': 0.596, 'q_minus_k2': 16}
{'p': 599303, 'b': 36, 'b_over_m14': 1.294, 'b_over_m18': 6.825, 'q_minus_k2': 10}
{'p': 756703, 'b': 13, 'b_over_m14': 0.441, 'b_over_m18': 2.394, 'q_minus_k2': 16}
{'p': 979541, 'b': 23, 'b_over_m14': 0.731, 'b_over_m18': 4.101, 'q_minus_k2': 6}
{'p': 1216577, 'b': 0, 'b_over_m14': 0.0, 'b_over_m18': 0.0, 'q_minus_k2': 14}
{'p': 1633249, 'b': 1, 'b_over_m14': 0.028, 'b_over_m18': 0.167, 'q_minus_k2': 52}
{'p': 1931983, 'b': 9, 'b_over_m14': 0.241, 'b_over_m18': 1.474, 'q_minus_k2': 12}
{'p': 2417843, 'b': 12, 'b_over_m14': 0.304, 'b_over_m18': 1.911, 'q_minus_k2': 22}
{'p': 2872981, 'b': 2, 'b_over_m14': 0.049, 'b_over_m18': 0.312, 'q_minus_k2': 12}
HASH 308926eafe6e97bc4af96fc54c096141c0a0a4e0cec3d07308b509de5b097fa1
